2024-01-10 14:17:03.613|WARN |monitor-mailservice|8788||c.a.d.c.s.b.f.a.ServiceAnnotationBeanPostProcessor|265 | [DUBBO] The BeanDefinition[Root bean: class [com.alibaba.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:mailServiceImpl:com.zr.mailmonitor.service.MailService, dubbo version: 2.6.2, current host: 10.85.1.10
2024-01-10 14:21:16.624|WARN |monitor-mailservice|8788||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.85.1.10:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.85.1.10
2024-01-10 16:42:35.110|WARN |monitor-mailservice|1652||c.a.d.c.s.b.f.a.ServiceAnnotationBeanPostProcessor|265 | [DUBBO] The BeanDefinition[Root bean: class [com.alibaba.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:mailServiceImpl:com.zr.mailmonitor.service.MailService, dubbo version: 2.6.2, current host: 10.85.1.10
2024-01-10 16:51:14.952|WARN |monitor-mailservice|1652||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.85.1.10:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.85.1.10
2024-01-10 17:29:41.744|WARN |monitor-mailservice|23220||c.a.d.c.s.b.f.a.ServiceAnnotationBeanPostProcessor|265 | [DUBBO] The BeanDefinition[Root bean: class [com.alibaba.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:mailServiceImpl:com.zr.mailmonitor.service.MailService, dubbo version: 2.6.2, current host: 10.65.103.148
2024-01-10 17:35:58.821|WARN |monitor-mailservice|23220||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.65.103.148:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.65.103.148
2024-01-10 17:36:22.582|WARN |monitor-mailservice|23464||c.a.d.c.s.b.f.a.ServiceAnnotationBeanPostProcessor|265 | [DUBBO] The BeanDefinition[Root bean: class [com.alibaba.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:mailServiceImpl:com.zr.mailmonitor.service.MailService, dubbo version: 2.6.2, current host: 10.65.103.148
2024-01-10 17:38:54.478|WARN |monitor-mailservice|23464||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.65.103.148:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.65.103.148
2024-01-10 20:31:09.940|WARN |monitor-mailservice|23464||o.a.z.ClientCnxn         |1108|Client session timed out, have not heard from server in 4718875ms for sessionid 0x1005bc75f570008
2024-01-10 20:31:12.554|WARN |monitor-mailservice|23464||o.a.z.ClientCnxn         |1285|Unable to reconnect to ZooKeeper service, session 0x1005bc75f570008 has expired
2024-01-10 20:31:12.555|WARN |monitor-mailservice|23464||o.a.c.ConnectionState    |336 |Session expired event received
2024-01-10 20:31:16.190|WARN |monitor-mailservice|23464||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.65.103.148:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.65.103.148
2024-01-10 21:37:11.611|WARN |monitor-mailservice|23464||c.a.d.r.t.AbstractServer |205 | [DUBBO] All clients has discontected from /10.65.103.148:20882. You can graceful shutdown now., dubbo version: 2.6.2, current host: 10.65.103.148
